"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"
5000251|"Asbjørn Berge"|"Freja Transport & Log."|"Bestyrelsespost"|""|265112
5000251|"Christian Valdemar Scavenius Sonne-Schmidt"|"Freja Transport & Log."|"Bestyrelsespost"|""|309203
5000251|"Jørgen Jørgensen Hansen"|"Freja Transport & Log."|"Bestyrelsespost formand"|""|468580
5000251|"Knud Borup Jensen"|"Freja Transport & Log."|"Bestyrelsespost"|""|502783
5000251|"Søren Kristian Sørensen"|"Freja Transport & Log."|"Bestyrelsespost"|""|662612
5000251|"Jesper Ellegaard Petersen"|"Freja Transport & Log."|"Direktionspost"|""|935470
5000304|"Finn Junge Andersen"|"3C Groups"|"Bestyrelsespost"|""|349231
5000304|"Jan Godballe Børjesson"|"3C Groups"|"Bestyrelsespost"|""|425003
5000304|"Niels Thorborg"|"3C Groups"|"Bestyrelsespost"|""|574844
5000304|"Finn Rossau Jensen"|"3C Groups"|"Bestyrelsespost formand"|""|1067588
5000827|"Lars Hanseid"|"3M"|"Bestyrelsespost"|""|516613
5000827|"Ove Frederik Martin Storm"|"3M"|"Direktionspost Administrerende direktør"|""|590144
5000827|"Klaus Pommer Mortensen"|"3M"|"Bestyrelsespost"|""|1169087
5000827|"Dorte Andersen"|"3M"|"Bestyrelsespost Medarbejdervalgt"|""|1450634
5000827|"Ann Marie Galvin"|"3M"|"Bestyrelsespost formand"|""|1627259
5000827|"Lone Lehmann Laurberg"|"3M"|"Direktionspost"|""|1883695
5000827|"Morten Fasmer"|"3M"|"Bestyrelsespost"|""|7384248
5000827|"Ulla Charlotte Ravn"|"3M"|"Direktionspost"|""|7384249
5000984|"Jeppe Laurids Hedaa"|"7N"|"Direktionspost adm. dir"|""|443899
5000984|"Jesper Kolding"|"7N"|"Bestyrelsespost"|""|446008
5000984|"Preben Damgaard Nielsen"|"7N"|"Bestyrelsespost formand"|""|625112
5000984|"Klaus Oberthanner Skjødt"|"7N"|"Bestyrelsespost"|""|1795938
5000984|"Ole Lønsmann Poulsen"|"7N"|"Bestyrelsespost"|""|1932760
5000410|"Jens Jørgen Enggaard"|"A. Enggaard Holding"|"Bestyrelsespost"|""|437491
5000410|"Jørgen Enggaard"|"A. Enggaard Holding"|"Bestyrelsespost formand"|""|465965
5000410|"Lars Asger Enggaard"|"A. Enggaard Holding"|"Direktionspost"|""|513988
5000001|"Ane Mærsk Mc-Kinney Uggla"|"A.P. Møller - Mærsk"|"Bestyrelsespost næstformand"|""|250603
5000001|"Arne Karlsson"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|262837
5000001|"Niels Jacobsen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Næstformand"|""|297514
5000001|"Jan Leschly"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|426743
5000001|"Jan Tøpholm"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|429307
5000001|"Lars Christian Pallesen"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|515152
5000001|"Leise Mærsk Mc-Kinney Møller"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|526918
5000001|"Michael Pram Rasmussen"|"A.P. Møller - Mærsk"|"Bestyrelsespost formand"|""|554525
5000004|"Trond Ødegård Westlie"|"Mærsk Olie og Gas"|"Direktionspost"|""|684197
5000001|"John Bond"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|1592142
5000001|"John Axel Poulsen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Medarbejdervalgt"|""|1592143
5000001|"Erik Rasmussen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Medarbejdervalgt"|""|1863256
5000001|"Robert John Routs"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|1863257
5000001|"Claus Michael Valentin Hemmingsen"|"A.P. Møller - Mærsk"|"Direktionspost"|""|1000560
5000004|"Jakob Bo Thomasen"|"Mærsk Olie og Gas"|"Direktionspost"|""|1727158
5000003|"Kim Fejfer"|"Maersk Container Industry"|"Direktionspost"|""|1363482
5000001|"Nils Smedegaard Andersen"|"A.P. Møller - Mærsk"|"Direktionspost Administrerende direktør"|""|576977
5000001|"Søren Skou"|"A.P. Møller - Mærsk"|"Direktionspost"|""|664570
5000627|"Hans Uwe Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|384752
5000627|"Jesper Hansen"|"Thermo Transit"|"Bestyrelsespost"|""|445478
5000627|"Jytte Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|463189
5000627|"Klaus Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|501536
5000627|"Per Conradsen"|"Thermo Transit"|"Bestyrelsespost"|""|597637
5000315|"Flemming Nyenstad Enevoldsen"|"Arovit Petfood"|"Bestyrelsespost formand"|""|233080
5000315|"Claus Bundgaard Petersen"|"Arovit Petfood"|"Bestyrelsespost"|""|311193
5000315|"Gudrun Zornig Nissen"|"Arovit Petfood"|"Bestyrelsespost Medarbejdervalgt"|""|370044
5000315|"Poul Møller"|"Arovit Petfood"|"Direktionspost adm. dir"|""|739499
5000315|"Jan Broe Hansen"|"Arovit Petfood"|"Bestyrelsespost"|""|1700134
5000592|"Hans Peter Nordstrøm Nissen"|"Bladkompagniet"|"Bestyrelsespost"|""|385366
5000592|"Christian Lanng Nielsen"|"Bladkompagniet"|"Direktionspost adm. dir"|""|929334
5000592|"Bjarne Werner Munck"|"Bladkompagniet"|"Bestyrelsespost næstformand"|""|974365
5000592|"Peter Nordgaard Hansen"|"Bladkompagniet"|"Bestyrelsespost"|""|1349898
5000592|"Stig Kirk Ørskov"|"Bladkompagniet"|"Bestyrelsespost formand"|""|1806886
5000592|"John Resting"|"Bladkompagniet"|"Bestyrelsespost"|""|1973027
5000592|"Victor Emanuel Hansen"|"Bladkompagniet"|"Bestyrelsespost"|""|16863353
5000906|"Bent Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|270607
5000906|"Kirsten Kathrine Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|496252
5000906|"Mikael Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|556231
5000906|"Kristian Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|1152160
5000059|"Søren Greve"|"Dansk Shell"|"Direktionspost adm. dir"|""|661199
5000059|"Henrik Elm Gulløv"|"Dansk Shell"|"Bestyrelsespost næstformand"|""|896046
5000059|"Thomas Richard Karl Jenke"|"Dansk Shell"|"Bestyrelsespost"|""|1519211
5000059|"Charlotte Louise Julin Johansen"|"Dansk Shell"|"Bestyrelsespost Medarbejdervalgt"|""|1519212
5000059|"Mads Hummelmose"|"Dansk Shell"|"Bestyrelsespost"|""|1769925
5000059|"Allan Plesner Søndergaard"|"Dansk Shell"|"Bestyrelsespost Medarbejdervalgt"|""|1769926
5000059|"Per Andrew Reiff-Musgrove"|"Dansk Shell"|"Bestyrelsespost formand"|""|1956888
5000059|"Regitze Reeh"|"Dansk Shell"|"Bestyrelsespost"|""|7375681
5000059|"Rene Holl Majgaard"|"Dansk Shell"|"Bestyrelsespost"|""|17142949
5000157|"Connie Astrup-Larsen"|"ØK"|"Bestyrelsespost"|""|314352
5000157|"Henning Kruse Stoltenberg Pedersen"|"ØK"|"Bestyrelsespost formand"|""|397094
5000157|"Karl Mats Erik Lönnqvist"|"ØK"|"Bestyrelsespost"|""|484932
5000157|"Niels Henrik Jensen"|"ØK"|"Direktionspost adm. dir"|""|570017
5000157|"Preben Sunke"|"ØK"|"Bestyrelsespost næstformand"|""|627185
5000700|"Arne Vestergaard Ebbesen"|"El-Salg"|"Bestyrelsespost formand"|""|264374
5000700|"Bruno Stenbæk Andersen"|"El-Salg"|"Bestyrelsespost næstformand"|""|295124
5000700|"Dorte Nielsen"|"El-Salg"|"Bestyrelsespost"|""|320209
5000700|"Jørn Bechmann"|"El-Salg"|"Bestyrelsespost"|""|474115
5000700|"Preben Frank Nielsen"|"El-Salg"|"Bestyrelsespost"|""|625376
5000700|"Peter Rodh"|"El-Salg"|"Bestyrelsespost"|""|1028363
5000700|"Tomas Hedehus"|"El-Salg"|"Direktionspost adm. dir"|""|1423185
5000185|"Arne Gerlyng-Hansen"|"Harald Nyborg"|"Direktionspost adm. dir"|""|262158
5000185|"Erling Daell"|"Harald Nyborg"|"Bestyrelsespost"|""|341969
5000185|"Ib Schmidt Hansen"|"Harald Nyborg"|"Bestyrelsespost næstformand"|""|411527
5000185|"Knud Hansen"|"Harald Nyborg"|"Bestyrelsespost"|""|504502
5000185|"Kurt Eduard Daell"|"Harald Nyborg"|"Bestyrelsespost Formand"|""|510371
5000185|"Mogens Weel Krammer"|"Harald Nyborg"|"Direktionspost"|""|561493
5000185|"Niels Bent Bastholm"|"Harald Nyborg"|"Bestyrelsespost"|""|566813
5000185|"Susan Gert Larsen"|"Harald Nyborg"|"Bestyrelsespost"|""|649938
5000185|"Henrik Mathiesen"|"Harald Nyborg"|"Bestyrelsespost"|""|1023710
5000185|"Ole Skovby Kirk"|"Harald Nyborg"|"Bestyrelsespost"|""|1598723
5000185|"Gert Sand"|"Harald Nyborg"|"Direktionspost"|""|17160246
5000824|"Anne Birte Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|254363
5000824|"Asta Johanne Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|265919
5000824|"Inge Lise Kjeldsen Klastrup"|"Henry Kjeldsen"|"Bestyrelsespost"|""|414227
5000824|"Jens Lykke Kjeldsen"|"Henry Kjeldsen"|"Direktionspost Administrerende direktør"|""|439028
5000824|"Tove Poulsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|683221
5000824|"Kasper Lykke Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|7371970
5000635|"Johannes Rosenkilde"|"Ikast Betonvarefabrik"|"Direktionspost adm. dir"|""|452466
5000635|"Mogens Anker Rosenkilde"|"Ikast Betonvarefabrik"|"Bestyrelsespost"|""|557546
5000635|"Poul Erik Lundsgaard"|"Ikast Betonvarefabrik"|"Direktionspost"|""|618723
5000635|"Preben Rosenkilde"|"Ikast Betonvarefabrik"|"Bestyrelsespost formand"|""|626947
5000911|"Gregers Væver Jacobsen"|"Læsø Fiskeindustri"|"Bestyrelsespost Formand"|""|368077
