"ORG_ID"|"ORG_NAVN"|"TYPE_FOA"
1000100|"Arbejdsgiverforeningen for Transport og Logistik (ATL) (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000101|"Kristelig Arbejdsgiverforening (Hovedbestyrelse)"|"Arbejdsgiverorganisationer"
1000102|"EmballageIndustrien (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000103|"Sammenslutningen af Landbrugets Arbejdsgiverforeninger (SALA) (Bestyrelse og direkton)"|"Arbejdsgiverorganisationer"
1000104|"Gartneri-, Land- og Skovbrugets Arbejdsgivere (Bestyrelse og direktion)"|"Arbejdsgiverorganisationer"
1000105|"Danske Anlægsgartnere (Hovedbestyrelse)"|"Arbejdsgiverorganisationer"
1000106|"Mejeribrugets Arbejdsgiverforening (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000107|"DS Håndværk & Industri (Hovedbestyrelsen)"|"Arbejdsgiverorganisationer"
1000108|"Dansk Arbejdsgiverforening (DA) (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000109|"Dansk Arbejdsgiverforening (DA) (Forretningsudvalg)"|"Arbejdsgiverorganisationer"
1000110|"Dansk Mode & Textil (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000111|"Benzin- og Oliebranchens Arbejdsgiverforening - BOA (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000112|"Tekniq - Installatørernes Organisation (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000113|"Grafisk Arbejdsgiverforening (Repræsentantskab)"|"Arbejdsgiverorganisationer"
1000114|"Grafisk Arbejdsgiverforening (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000115|"SAMA - Sammenslutningen af mindre Arbejdsgiverforeninger (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000116|"DI (Udvalg for affald)"|"Arbejdsgiverorganisationer"
1000117|"DI (Udvalg for arbejdsmarkedspolitik)"|"Arbejdsgiverorganisationer"
1000118|"DI (Udvalg for byggepolitik)"|"Arbejdsgiverorganisationer"
1000119|"DI (Udvalg for design)"|"Arbejdsgiverorganisationer"
1000120|"DI (Forretningsudvalg)"|"Arbejdsgiverorganisationer"
1000121|"DI (Hovedbestyrelse)"|"Arbejdsgiverorganisationer"
1000122|"DI (Internationale markedsudvalg)"|"Arbejdsgiverorganisationer"
1000123|"DI (Udvalg for E-business)"|"Arbejdsgiverorganisationer"
1000124|"DI (Udvalg for Energi- og Klimapolitik)"|"Arbejdsgiverorganisationer"
1000125|"DI (Udvalg for Erhvervspolitik)"|"Arbejdsgiverorganisationer"
1000126|"DI (Udvalg for Erhvervsuddannelse)"|"Arbejdsgiverorganisationer"
1000127|"DI (Udvalg for Forskning og Uddannelse)"|"Arbejdsgiverorganisationer"
1000128|"DI (Udvalg for Informationssikkerhed)"|"Arbejdsgiverorganisationer"
1000129|"DI (Udvalg for IT politik)"|"Arbejdsgiverorganisationer"
1000130|"DI (Udvalg for Konkurrenceret)"|"Arbejdsgiverorganisationer"
1000131|"DI (Udvalg for Medieindustri)"|"Arbejdsgiverorganisationer"
1000132|"DI (Udvalg for Miljø)"|"Arbejdsgiverorganisationer"
1000133|"DI (Udvalg for Mindre og Mellemstore Virksomheder)"|"Arbejdsgiverorganisationer"
1000134|"DI (Udvalg for Offentlig-privat samspil)"|"Arbejdsgiverorganisationer"
1000135|"DI (Udvalg for Råstof)"|"Arbejdsgiverorganisationer"
1000136|"DI (Udvalg for Selskabsret)"|"Arbejdsgiverorganisationer"
1000137|"DI (Udvalg for Skattepolitik)"|"Arbejdsgiverorganisationer"
1000139|"DI (Udvalg for Telepolitik)"|"Arbejdsgiverorganisationer"
1000140|"DI (Udvalg for Transport og infrastruktur)"|"Arbejdsgiverorganisationer"
1000141|"DI (Udvalg for Turisme)"|"Arbejdsgiverorganisationer"
1000142|"DI (DI's Direktion)"|"Arbejdsgiverorganisationer"
1000143|"Danske Malermestre (Direktion)"|"Arbejdsgiverorganisationer"
1000144|"Danske Malermestre (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000145|"Arbejdsgiverforeningen for Taxivognmænd i Danmark (ATD) (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000146|"Asfaltindustrien (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000147|"Asfaltindustrien (Direktion)"|"Arbejdsgiverorganisationer"
1000148|"Dansk Byggeri (Direktion)"|"Arbejdsgiverorganisationer"
1000149|"Dansk Byggeri (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000150|"LandsdelsOrkesterForeningen (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000151|"Kooperationen - Den kooperative Arbejdsgiver- og Interesseorganisation i Danmark (Direktion)"|"Arbejdsgiverorganisationer"
1000152|"Kooperationen - Den kooperative Arbejdsgiver- og Interesseorganisation i Danmark (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000153|"Danske Slagtermestre, DSM (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000154|"Danske Slagtermestre, DSM (Direktion)"|"Arbejdsgiverorganisationer"
1000155|"FødevareIndustriens Arbejdsgiverforening (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000156|"Arbejdsgiverforeningen for Kollektiv Trafik (AKT) (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000157|"Slagteriernes Arbejdsgiverforeninger (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000158|"Finanssektorens Arbejdsgiverforening (Bestyrelse)"|"Arbejdsgiverorganisationer"
1000159|"Finanssektorens Arbejdsgiverforening (Repræsentantskab)"|"Arbejdsgiverorganisationer"
1000160|"Finanssektorens Arbejdsgiverforening (Forhandlingsudvalg)"|"Arbejdsgiverorganisationer"
1000161|"Finanssektorens Arbejdsgiverforening (Direktion)"|"Arbejdsgiverorganisationer"
1000689|"Danske Dagblades Forening  (Bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000690|"Danske Dagblades Forening  (Annonceudvalget)"|"Erhvervs- og brancheorganisationer"
1000691|"Danske Dagblades Forening  (Distributions- og bladsalgsudvalget)"|"Erhvervs- og brancheorganisationer"
