"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"|"CVR"|"POST_SIDEN"|"post"|"IND_NR"
5000253|"Asbjørn Berge"|"Freja Transport & Log."|"Bestyrelsespost"|""|265112|15027800|"23-05-2008"|"Bestyrelsesmedlem"|106111
5000253|"Christian Valdemar Scavenius Sonne-Schmidt"|"Freja Transport & Log."|"Bestyrelsespost"|""|309203|15027800|"18-12-1997"|"Bestyrelsesmedlem"|106111
5000253|"Jørgen Jørgensen Hansen"|"Freja Transport & Log."|"Bestyrelsespost formand"|""|468580|15027800|"13-06-2006"|"Formand"|106111
5000253|"Knud Borup Jensen"|"Freja Transport & Log."|"Bestyrelsespost"|""|502783|15027800|"13-06-2006"|"Bestyrelsesmedlem"|106111
5000253|"Søren Kristian Sørensen"|"Freja Transport & Log."|"Bestyrelsespost"|""|662612|15027800|"11-05-2006"|"Bestyrelsesmedlem"|106111
5000253|"Jesper Ellegaard Petersen"|"Freja Transport & Log."|"Direktionspost"|""|935470|15027800|"13-06-2006"|"Direktionspost"|106111
5000306|"Finn Junge Andersen"|"3C Groups"|"Bestyrelsespost"|""|349231|25247191|"01-06-2008"|"Bestyrelsesmedlem"|106111
5000306|"Jan Godballe Børjesson"|"3C Groups"|"Bestyrelsespost"|""|425003|25247191|"01-06-2008"|"Bestyrelsesmedlem"|106111
5000306|"Niels Thorborg"|"3C Groups"|"Bestyrelsespost"|""|574844|25247191|"08-09-2009"|"Bestyrelsesmedlem"|106111
5000306|"Finn Rossau Jensen"|"3C Groups"|"Bestyrelsespost formand"|""|1067588|25247191|"08-09-2009"|"Formand"|106111
5000834|"Lars Hanseid"|"3M"|"Bestyrelsespost"|""|516613|43335316|"07-05-2010"|"Bestyrelsesmedlem"|106111
5000834|"Ove Frederik Martin Storm"|"3M"|"Direktionspost Administrerende direktør"|""|590144|43335316|"01-11-2006"|"Adm. Direktør"|106111
5000834|"Klaus Pommer Mortensen"|"3M"|"Bestyrelsespost"|""|1169087|43335316|"03-05-2005"|"Bestyrelsesmedlem"|106111
5000834|"Dorte Andersen"|"3M"|"Bestyrelsespost Medarbejdervalgt"|""|1450634|43335316|"23-05-2007"|"Medarbejderrepræsentant"|106111
5000834|"Ann Marie Galvin"|"3M"|"Bestyrelsespost formand"|""|1627259|43335316|"12-05-2011"|"Formand"|106111
5000834|"Lone Lehmann Laurberg"|"3M"|"Direktionspost"|""|1883695|43335316|"12-05-2011"|"Direktionspost"|106111
5000834|"Morten Fasmer"|"3M"|"Bestyrelsespost"|""|7384248|43335316|"12-05-2011"|"Bestyrelsesmedlem"|106111
5000834|"Ulla Charlotte Ravn"|"3M"|"Direktionspost"|""|7384249|43335316|"12-05-2011"|"Direktionspost"|106111
5000994|"Jeppe Laurids Hedaa"|"7N"|"Direktionspost adm. dir"|""|443899|50810216|"26-02-2012"|"Adm. Direktør"|106111
5000994|"Jesper Kolding"|"7N"|"Bestyrelsespost"|""|446008|50810216|"02-09-2011"|"Bestyrelsesmedlem"|106111
5000994|"Preben Damgaard Nielsen"|"7N"|"Bestyrelsespost formand"|""|625112|50810216|"26-02-2012"|"Formand"|106111
5000994|"Klaus Oberthanner Skjødt"|"7N"|"Bestyrelsespost"|""|1795938|50810216|"14-10-2010"|"Bestyrelsesmedlem"|106111
5000994|"Ole Lønsmann Poulsen"|"7N"|"Bestyrelsespost"|""|1932760|50810216|"14-10-2010"|"Bestyrelsesmedlem"|106111
5000413|"Jens Jørgen Enggaard"|"A. Enggaard Holding"|"Bestyrelsespost"|""|437491|29604363|"23-05-2006"|"Bestyrelsesmedlem"|106111
5000413|"Jørgen Enggaard"|"A. Enggaard Holding"|"Bestyrelsespost formand"|""|465965|29604363|"23-05-2006"|"Formand"|106111
5000413|"Lars Asger Enggaard"|"A. Enggaard Holding"|"Direktionspost"|""|513988|29604363|"23-05-2006"|"Direktionspost"|106111
5000001|"Ane Mærsk Mc-Kinney Uggla"|"A.P. Møller - Mærsk"|"Bestyrelsespost næstformand"|""|250603|22756214|"12-06-2003"|"Næstformand"|106111
5000001|"Arne Karlsson"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|262837|22756214|"27-04-2010"|"Bestyrelsesmedlem"|106111
5000001|"Niels Jacobsen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Næstformand"|""|297514|22756214|"27-04-2010"|"Næstformand"|106111
5000001|"Jan Leschly"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|426743|22756214|"12-06-2003"|"Bestyrelsesmedlem"|106111
5000001|"Jan Tøpholm"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|429307|22756214|"14-05-2001"|"Bestyrelsesmedlem"|106111
5000001|"Lars Christian Pallesen"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|515152|22756214|"29-04-2008"|"Bestyrelsesmedlem"|106111
5000001|"Leise Mærsk Mc-Kinney Møller"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|526918|22756214|"02-06-1993"|"Bestyrelsesmedlem"|106111
5000001|"Michael Pram Rasmussen"|"A.P. Møller - Mærsk"|"Bestyrelsespost formand"|""|554525|22756214|"15-12-2003"|"Formand"|106111
5000004|"Trond Ødegård Westlie"|"Mærsk Olie og Gas"|"Direktionspost"|""|684197|22757318|""|"Direktionspost"|106111
5000001|"John Bond"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|1592142|22756214|"29-04-2008"|"Bestyrelsesmedlem"|106111
5000001|"John Axel Poulsen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Medarbejdervalgt"|""|1592143|22756214|"29-04-2008"|"Medarbejderrepræsentant"|106111
5000001|"Erik Rasmussen"|"A.P. Møller - Mærsk"|"Bestyrelsespost Medarbejdervalgt"|""|1863256|22756214|"27-04-2010"|"Medarbejderrepræsentant"|106111
5000001|"Robert John Routs"|"A.P. Møller - Mærsk"|"Bestyrelsespost"|""|1863257|22756214|"27-04-2010"|"Bestyrelsesmedlem"|106111
5000001|"Claus Michael Valentin Hemmingsen"|"A.P. Møller - Mærsk"|"Direktionspost"|""|1000560|22756214|"14-07-1986"|"Direktionspost"|106111
5000004|"Jakob Bo Thomasen"|"Mærsk Olie og Gas"|"Direktionspost"|""|1727158|22757318|""|"Direktionspost"|106111
5000003|"Kim Fejfer"|"Maersk Container Industry"|"Direktionspost"|""|1363482|13823774|""|"Direktionspost"|106111
5000001|"Nils Smedegaard Andersen"|"A.P. Møller - Mærsk"|"Direktionspost Administrerende direktør"|""|576977|22756214|"14-07-1986"|"Adm. Direktør"|106111
5000001|"Søren Skou"|"A.P. Møller - Mærsk"|"Direktionspost"|""|664570|22756214|"14-07-1986"|"Direktionspost"|106111
5000634|"Hans Uwe Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|384752|10400686|"21-10-1992"|"Bestyrelsesmedlem"|106111
5000634|"Jesper Hansen"|"Thermo Transit"|"Bestyrelsespost"|""|445478|10400686|"30-11-2000"|"Bestyrelsesmedlem"|106111
5000634|"Jytte Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|463189|10400686|"21-10-1992"|"Bestyrelsesmedlem"|106111
5000634|"Klaus Paysen"|"Thermo Transit"|"Bestyrelsespost"|""|501536|10400686|"14-10-2011"|"Bestyrelsesmedlem"|106111
5000634|"Per Conradsen"|"Thermo Transit"|"Bestyrelsespost"|""|597637|10400686|"04-11-2005"|"Bestyrelsesmedlem"|106111
5000317|"Flemming Nyenstad Enevoldsen"|"Arovit Petfood"|"Bestyrelsespost formand"|""|233080|78804912|"10-06-2010"|"Formand"|106111
5000317|"Claus Bundgaard Petersen"|"Arovit Petfood"|"Bestyrelsespost"|""|311193|78804912|"13-06-2006"|"Bestyrelsesmedlem"|106111
5000317|"Gudrun Zornig Nissen"|"Arovit Petfood"|"Bestyrelsespost Medarbejdervalgt"|""|370044|78804912|"13-02-1996"|"Medarbejderrepræsentant"|106111
5000317|"Poul Møller"|"Arovit Petfood"|"Direktionspost adm. dir"|""|739499|78804912|"19-11-2009"|"Adm. Direktør"|106111
5000317|"Jan Broe Hansen"|"Arovit Petfood"|"Bestyrelsespost"|""|1700134|78804912|"30-12-2008"|"Bestyrelsesmedlem"|106111
5000599|"Hans Peter Nordstrøm Nissen"|"Bladkompagniet"|"Bestyrelsespost"|""|385366|54069510|"01-11-2010"|"Bestyrelsesmedlem"|106111
5000599|"Christian Lanng Nielsen"|"Bladkompagniet"|"Direktionspost adm. dir"|""|929334|54069510|"01-10-2009"|"Adm. Direktør"|106111
5000599|"Bjarne Werner Munck"|"Bladkompagniet"|"Bestyrelsespost næstformand"|""|974365|54069510|"22-03-2011"|"Næstformand"|106111
5000599|"Peter Nordgaard Hansen"|"Bladkompagniet"|"Bestyrelsespost"|""|1349898|54069510|"20-02-2008"|"Bestyrelsesmedlem"|106111
5000599|"Stig Kirk Ørskov"|"Bladkompagniet"|"Bestyrelsespost formand"|""|1806886|54069510|"22-03-2011"|"Formand"|106111
5000599|"John Resting"|"Bladkompagniet"|"Bestyrelsespost"|""|1973027|54069510|"01-02-2011"|"Bestyrelsesmedlem"|106111
5000599|"Victor Emanuel Hansen"|"Bladkompagniet"|"Bestyrelsespost"|""|16863353|54069510|"12-09-2011"|"Bestyrelsesmedlem"|106111
5000914|"Bent Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|270607|71191117|"09-11-1982"|"Bestyrelsesmedlem"|106111
5000914|"Kirsten Kathrine Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|496252|71191117|"09-11-1982"|"Bestyrelsesmedlem"|106111
5000914|"Mikael Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|556231|71191117|"10-04-1991"|"Bestyrelsesmedlem"|106111
5000914|"Kristian Brandt"|"Catodan Cateringudstyr"|"Bestyrelsespost"|""|1152160|71191117|""|"Bestyrelsesmedlem"|106111
5000060|"Søren Greve"|"Dansk Shell"|"Direktionspost adm. dir"|""|661199|10373816|"01-10-2009"|"Adm. Direktør"|106111
5000060|"Henrik Elm Gulløv"|"Dansk Shell"|"Bestyrelsespost næstformand"|""|896046|10373816|"02-04-2012"|"Næstformand"|106111
5000060|"Thomas Richard Karl Jenke"|"Dansk Shell"|"Bestyrelsespost"|""|1519211|10373816|"12-11-2007"|"Bestyrelsesmedlem"|106111
5000060|"Charlotte Louise Julin Johansen"|"Dansk Shell"|"Bestyrelsespost Medarbejdervalgt"|""|1519212|10373816|"12-12-2007"|"Medarbejderrepræsentant"|106111
5000060|"Mads Hummelmose"|"Dansk Shell"|"Bestyrelsespost"|""|1769925|10373816|"29-05-2009"|"Bestyrelsesmedlem"|106111
5000060|"Allan Plesner Søndergaard"|"Dansk Shell"|"Bestyrelsespost Medarbejdervalgt"|""|1769926|10373816|"01-06-2009"|"Medarbejderrepræsentant"|106111
5000060|"Per Andrew Reiff-Musgrove"|"Dansk Shell"|"Bestyrelsespost formand"|""|1956888|10373816|"17-12-2010"|"Formand"|106111
5000060|"Regitze Reeh"|"Dansk Shell"|"Bestyrelsespost"|""|7375681|10373816|"14-06-2011"|"Bestyrelsesmedlem"|106111
5000060|"Rene Holl Majgaard"|"Dansk Shell"|"Bestyrelsespost"|""|17142949|10373816|"07-02-2012"|"Bestyrelsesmedlem"|106111
5000158|"Connie Astrup-Larsen"|"ØK"|"Bestyrelsespost"|""|314352|26041716|"27-03-2007"|"Bestyrelsesmedlem"|106111
5000158|"Henning Kruse Stoltenberg Pedersen"|"ØK"|"Bestyrelsespost formand"|""|397094|26041716|"27-03-2007"|"Formand"|106111
5000158|"Karl Mats Erik Lönnqvist"|"ØK"|"Bestyrelsespost"|""|484932|26041716|"30-03-2006"|"Bestyrelsesmedlem"|106111
5000158|"Niels Henrik Jensen"|"ØK"|"Direktionspost adm. dir"|""|570017|26041716|"02-01-2006"|"Adm. Direktør"|106111
5000158|"Preben Sunke"|"ØK"|"Bestyrelsespost næstformand"|""|627185|26041716|"24-03-2010"|"Næstformand"|106111
5000707|"Arne Vestergaard Ebbesen"|"El-Salg"|"Bestyrelsespost formand"|""|264374|25256875|"17-04-2004"|"Formand"|106111
5000707|"Bruno Stenbæk Andersen"|"El-Salg"|"Bestyrelsespost næstformand"|""|295124|25256875|"09-09-1999"|"Næstformand"|106111
5000707|"Dorte Nielsen"|"El-Salg"|"Bestyrelsespost"|""|320209|25256875|"06-05-2000"|"Bestyrelsesmedlem"|106111
5000707|"Jørn Bechmann"|"El-Salg"|"Bestyrelsespost"|""|474115|25256875|"12-04-2008"|"Bestyrelsesmedlem"|106111
5000707|"Preben Frank Nielsen"|"El-Salg"|"Bestyrelsespost"|""|625376|25256875|"18-04-2009"|"Bestyrelsesmedlem"|106111
5000707|"Peter Rodh"|"El-Salg"|"Bestyrelsespost"|""|1028363|25256875|"10-04-2010"|"Bestyrelsesmedlem"|106111
5000707|"Tomas Hedehus"|"El-Salg"|"Direktionspost adm. dir"|""|1423185|25256875|"17-03-2009"|"Adm. Direktør"|106111
5000186|"Arne Gerlyng-Hansen"|"Harald Nyborg"|"Direktionspost adm. dir"|""|262158|37783315|"02-08-2004"|"Adm. Direktør"|106111
5000186|"Erling Daell"|"Harald Nyborg"|"Bestyrelsespost"|""|341969|37783315|"03-05-2004"|"Bestyrelsesmedlem"|106111
5000186|"Ib Schmidt Hansen"|"Harald Nyborg"|"Bestyrelsespost næstformand"|""|411527|37783315|"02-08-2004"|"Næstformand"|106111
5000186|"Knud Hansen"|"Harald Nyborg"|"Bestyrelsespost"|""|504502|37783315|"06-01-1988"|"Bestyrelsesmedlem"|106111
5000186|"Kurt Eduard Daell"|"Harald Nyborg"|"Bestyrelsespost Formand"|""|510371|37783315|"15-08-1986"|"Formand"|106111
5000186|"Mogens Weel Krammer"|"Harald Nyborg"|"Direktionspost"|""|561493|37783315|"30-04-1993"|"Direktionspost"|106111
5000186|"Niels Bent Bastholm"|"Harald Nyborg"|"Bestyrelsespost"|""|566813|37783315|"02-04-2012"|"Bestyrelsesmedlem"|106111
5000186|"Susan Gert Larsen"|"Harald Nyborg"|"Bestyrelsespost"|""|649938|37783315|"06-06-2001"|"Bestyrelsesmedlem"|106111
5000186|"Henrik Mathiesen"|"Harald Nyborg"|"Bestyrelsespost"|""|1023710|37783315|"25-11-2003"|"Bestyrelsesmedlem"|106111
5000186|"Ole Skovby Kirk"|"Harald Nyborg"|"Bestyrelsespost"|""|1598723|37783315|"26-05-2008"|"Bestyrelsesmedlem"|106111
5000186|"Gert Sand"|"Harald Nyborg"|"Direktionspost"|""|17160246|37783315|"02-04-2012"|"Direktionspost"|106111
5000831|"Anne Birte Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|254363|10753694|"27-03-1985"|"Bestyrelsesmedlem"|106111
5000831|"Asta Johanne Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|265919|10753694|"27-03-1985"|"Bestyrelsesmedlem"|106111
5000831|"Inge Lise Kjeldsen Klastrup"|"Henry Kjeldsen"|"Bestyrelsespost"|""|414227|10753694|"27-03-1985"|"Bestyrelsesmedlem"|106111
5000831|"Jens Lykke Kjeldsen"|"Henry Kjeldsen"|"Direktionspost Administrerende direktør"|""|439028|10753694|"12-02-1992"|"Adm. Direktør"|106111
5000831|"Tove Poulsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|683221|10753694|"27-03-1985"|"Bestyrelsesmedlem"|106111
5000831|"Kasper Lykke Kjeldsen"|"Henry Kjeldsen"|"Bestyrelsespost"|""|7371970|10753694|"16-04-2011"|"Bestyrelsesmedlem"|106111
5000642|"Johannes Rosenkilde"|"Ikast Betonvarefabrik"|"Direktionspost adm. dir"|""|452466|37537314|"23-05-2008"|"Adm. Direktør"|106111
5000642|"Mogens Anker Rosenkilde"|"Ikast Betonvarefabrik"|"Bestyrelsespost"|""|557546|37537314|"23-05-2008"|"Bestyrelsesmedlem"|106111
5000642|"Poul Erik Lundsgaard"|"Ikast Betonvarefabrik"|"Direktionspost"|""|618723|37537314|"23-05-2008"|"Direktionspost"|106111
