|BIQ_ID|Navn|Firma|Arbejdsområde|Retskreds||||
0|0|Åse Gahner Klemmensen|"Advokatfirmaet Åse Gahner Klemmensen,
Hjørring "|Erstatningsret| familieret- og personret| mediation/ mægling |Hjørring||
295|1671987|Åsa Ingrid Susanne Pahlén-Åklundh|||||||
303|7359952|Åsa Ingrid Susanne Pahlen Åklundh|||||||
970|16809119|Åsa Christina Hallert|||||||
1615|17165019|Åke Per-Urban Bäckström|||||||
467|723379|Åke Hantoft|||||||
0|0|Aage Tang-Andersen|"Advokat Aage Tang-Andersen,
Højbjerg "|Insolvensret/ betalingsstandsning/ konkurs/ akkord| international erhvervsret| procedure/ retssager |Aarhus||
5195|238725|Aage Søndergaard Nielsen|||||||
297|238561|Aage Rank|||||||
0|0|Åge Lasenius Kramp|"Cityadvokaterne I/S,
Frederiksberg "|Strafferet| udlændingeret |Frederiksberg|||
1228|1256303|Aage Langkjær Snorgaard|||||||
0|0|Aage Krogh|"IUNO Advokatpartnerselskab,
København K "|Entrepriseret| erhvervsret| transportret |København||
5883|238201|Aage Juhl Jørgensen|||||||
2034|238124|Aage Jarl Jensen|||||||
4313|17115837|Aage Højbjerg|||||||
1495|1396640|Aage Frandsen|||||||
3877|237577|Aage Almtoft|||||||
5536|17138279|Øyvind Sæther|||||||
4677|1850336|Øyvind Isaksen|||||||
2191|1971141|Øyvind Flyging|||||||
5955|1753778|Øystein Herland|||||||
0|0|Ørn Johnny Bergmann|"Advokat Ørn Bergmann,
Herning "|Fast ejendom-boligrådgivning/ ejendomsberigtigelse| generationsskifte| landboret/ landbrugshandler |Herning||
0|0|Øjvind Hulgaard|"Hulgaard Advokater P/S,
Kolding "|Bestyrelsesarbejde| energiret| generationsskifte |Kolding||
2332|1056354|Øjvind Clement|||||||
0|0|Zygmunt Auster|"Plesner,
København Ø "|Finansieringsret| franchising| ophavsret |København||
4218|1568336|Zbigniew Rekusz|||||||
0|0|Zand Babak Ahani|"Advokat Ahani,
Hellerup "||Lyngby||||
0|0|Yvonne Frederiksen|"Norrbom Vinding,
København Ø "|Ansættelses- og arbejdsret |København||||
2965|1480730|Yves Marc Christian Alexandre|||||||
4059|1154612|Yury Tarasov|||||||
4062|1856835|Yuriy Larin|||||||
4061|1716551|Yuriy Bokachev|||||||
978|17131596|Yuji Kozai|||||||
5924|1311591|Yong-Nam Mathias Hermansson|||||||
3431|17080141|Yngve Ruud|||||||
3496|1569994|Yann Patrick Pierre Maria Jaffre|||||||
2628|1607514|Wolfgang Reim|||||||
142|16991825|Wolfgang Dieter Hermann|||||||
842|1995193|Wolfgang Binder|||||||
1393|1851391|Wolf Ehrenberg|||||||
0|0|Wivi H. Larsen|"Advokat v/Wivi H Larsen,
Glostrup "|Erhvervsret| selskabsret| skatteret |Glostrup||
3738|707734|Winnie Karin Macartney|||||||
2181|1690962|Wilson Eli Bradley|||||||
0|0|Willy Søndergaard|"Advokatfirmaet Jochimsen & Søndergaard,
Sønderborg "||Sønderborg||||
975|1044970|Willy Sophus Henriksen|||||||
2868|1822517|Willy R. Eliasen|||||||
2331|982881|Willy Damgaard Kristensen|||||||
0|0|William Leif Bentzen|"Bech-Bruun Advokatfirma,
København Ø "||København||||
0|0|William Kanta|"Kromann Reumert,
København Ø "||København||||
2180|1690961|William Glen Bartley|||||||
1437|915851|William Ervin Hoover|||||||
5413|1881979|William Allen|||||||
421|17115228|Willi Beckmann|||||||
4396|235121|Wilhelmus Reinier Maria|||||||
4190|1094104|Wilhelmus Henricus Johannes Clemens Maria Oomens|||||||
4987|16851892|Wilhelm Valentin Reisgen|||||||
928|1363972|Wiebe Arnold Pelsma|||||||
3040|1209592|Werner Weber|||||||
1452|896198|Werner Hess|||||||
0|0|Wendi Ring|"Kromann Reumert,
Aarhus C "||Aarhus||||
458|695239|Walther Vishof Paulsen|||||||
4823|695232|Walther Thygesen|||||||
3376|695111|Walter William Turner|||||||
5076|1170846|Walter Schuchter|||||||
6066|1114001|Walter Montevecchi|||||||
5388|694996|Walter Gustav Christophersen|||||||
3605|1095720|Vytautas Sidlauskas|||||||
4154|1662024|Volker Kuntzsch|||||||
1302|694694|Vladimir Pavlovich Morozov|||||||
0|0|Vivian Petersen|"Paragraph3 advokatfirma,
København K "|Fonds- og foreningsret| kontraktsret| virksomhedsrådgivning |København||
0|0|Vivian Mønsted Jørgensen|"Vivian Mønsted Jørgensen,
København V "|Familieret- og personret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| frie skolers retsforhold |København||
0|0|Vivian Mangaard|"Advokat Vivian Mangaard,
Charlottenlund "|Almen praksis| erstatningsret| kontraktsret |Lyngby||
2135|1821664|Vivi Schilling Schou Lindblad|||||||
0|0|Vivi Muurholm Matthiesen|"Judica Advokaterne Sønderborg,
Sønderborg "|Erhvervsret| retssager| strafferet |Sønderborg||
0|0|Vivi Klink Larsen|"Plesner,
København Ø "||København||||
0|0|Vivi Bruhn Knudsen|"Lett Advokatfirma,
København V "|Miljø og Energi| procedure/ retssager |København|||
3796|1766214|Virginia Louise Molino|||||||
5102|694051|Vinnie Riber|||||||
4730|694016|Vinni Marianne Riis|||||||
4021|1615932|Vincenzo Miceli|||||||
914|7366127|Vincent Donargo|||||||
2583|693791|Villy Rudolf Jørgensen|||||||
2720|693766|Villy Rasmussen|||||||
2994|693545|Villy Kjær Gravengaard|||||||
4292|693526|Villy Karsten Sørensen|||||||
2666|693503|Villy Jæger|||||||
5741|693210|Villy Bülow Rossen|||||||
6147|236820|Villum Christensen|||||||
4426|236911|Vilhelm Wohlert|||||||
4012|421618|Vilhelm Jacob Nellemann| sr||||||
3594|692943|Vilhelm Hald-Christensen|||||||
1123|692924|Vilhelm Eigil Hahn-Petersen|||||||
0|0|Vilhelm Dickmeiss|"Advokatfirmaet Dickmeiss,
Odense C "|Familieret- og personret| fast ejendom-boligrådgivning/ ejendomsberigtigelse| strafferet |Odense||
465|692783|Viggo Ølgaard Bloch|||||||
6150|692598|Viggo Nedergaard Jensen|||||||
611|692580|Viggo Mølholm|||||||
4305|692469|Viggo Jonasen|||||||
2158|1204507|Viggo Hvidberg|||||||
0|0|Viggo Bækgaard|"Forum Advokater A/S,
Roskilde "|Arv og dødsbo| familieret- og personret| retssager |Roskilde||
4030|1915563|Vidar Frostrud|||||||
61|16863353|Victor Emanuel Hansen|||||||
