"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"id"
1000128|"Adser Leick"|"DI (Udvalg for Informationssikkerhed)"|""|"Adser Leick IT-sikkerhedschef (Formand) LEGO A/S"|1
1000912|"Agner N. Mark"|"Dansk Venture- og Kapitalfondsforening - DVCA (Business Angels Udvalget)"|""|"Agner N. Mark, BA Copenhagen"|2
1000952|"Aimee Goldsmith"|"Brancheforeningen for Sæbe, Parfume og Teknisk/Kemiske artikler (bestyrelse)"|""|"Aimee Goldsmith, ER Leader Nordic Procter & Gamble"|3
1000722|"Alaedin Seyedi"|"Bygherreforeningen (Energi og Miljø)"|""|"Alaedin Seyedi, Bygningsstyrelsen"|4
1000701|"Alan Jensen"|"GS1 Denmark (bestyrelse)"|""|"Alan Jensen, Dansk Supermarked A/S (DE)"|5
1001042|"Albert Pedersen"|"Dansk Vand- og Spildevandsforening (DANVA) (bestyrelse)"|""|"Albert Pedersen, Nyborg Forsyning og Service"|6
1001091|"Albert Pedersen"|"Dansk Fjernvarme (bestyrelse)"|""|"Albert Pedersen, Bestyrelsesformand Nyborg Forsyning og Service"|6
1000860|"ALeif N. Dircksen"|"Brancheforeningen automatik, tryk & transmission (bestyrelse)"|"Formand"|"ALeif N. Dircksen, Adm. dir. PMC Tehnology A/S, direktør"|7
1000894|"Aleksander Risom Nyrup"|"Dansk Håndbold Forbund (Børne- og ungeudvalget)"|""|"Aleksander Risom Nyrup, Frederiksgade 6, 3 th, 9000 Aalborg"|8
1000702|"Aleksander Aagaard"|"Hedeselskabet (bestyrelse)"|""|"Aleksander Aagaard ,"|9
1000703|"Aleksander Aagaard"|"Hedeselskabet (repræsentantskabet)"|""|"Aleksander Aagaard, Region Midtjylland"|9
1000819|"Alex Mandrup Paulsen"|"Dansk Ejendomsmæglerforening (uddannelsesråd)"|""|"Alex Mandrup Paulsen, bestyrelsesmedlem"|10
1000821|"Alex Mandrup Paulsen"|"Dansk Ejendomsmæglerforening (bestyrelse)"|""|"Alex Mandrup Paulsen, Statsaut. ejendomsmægler EDC Ejendoms Centret, Bestyrelsesmedlem"|10
1000977|"Alex Mikkelsen"|"Dansk Akvakultur (Skaldyr)"|""|"Alex Mikkelsen,"|11
1000883|"Alex Nielsen"|"Dansk Fitness og Helseorganisation – DFHO (bestyrelse)"|""|"Alex Nielsen, Ejer Odder Fitness Center"|12
1000689|"Alex Pedersen"|"Danske Dagblades Forening (Bestyrelse)"|""|"Alex Pedersen, Adm. direktør, ansvh. chefredaktør, medlem"|13
1000126|"Alex Thomsen"|"DI (Udvalg for Erhvervsuddannelse)"|""|"Alex Thomsen Vice President Danfoss A/S"|14
1000835|"Alexandra Thygesen"|"Byggesocietetet (Miljøudvalget )"|""|"Alexandra Thygesen, AT Architects ApS"|15
1000742|"Alfred Fisker Hansen"|"Danmarks Fiskeriforening (bestyrelse)"|""|"Alfred Fisker Hansen ,"|16
1000958|"Alice Bjørn-Andersen"|"Liberale Erhvervs Råd (LER)"|""|"Alice Bjørn-Andersen, Translatør, Translatørforeningen"|17
1000117|"Alice Bugge"|"DI (Udvalg for arbejdsmarkedspolitik)"|""|"Alice Bugge Direktør RENTEK A/S"|18
1000909|"Alice Mortensen"|"Dansk Vandrelaug (styrelse)"|""|"Alice Mortensen, Aalborg, Styrelsesmedlem"|19
1000143|"Allan Brohus"|"Danske Malermestre (Direktion)"|""|"Allan Brohus Konsulent Maleteknisk afdeling"|20
1000742|"Allan Buch"|"Danmarks Fiskeriforening (bestyrelse)"|""|"Allan Buch,"|21
1001072|"Allan Buch"|"Danske Fiskeres Producent Organisation (DFPO) (bestyrelse)"|"Næstformand"|"Allan Buch, Røjlemosevej 61, 5500 Middelfart, Næstformand"|21
1000918|"Allan Baagø"|"Dansk Værktøjsmaskinforhandler Forening - DVF (bestyrelse)"|""|"Allan Baagø,DUROC MACHINE TOOL A/S"|22
1001068|"Allan Ehrenreich Mortensen"|"Dansk-Fransk Handelsunion (bestyrelse)"|""|"Allan Ehrenreich Mortensen, Le Conseiller Commercial Ambassade Royale du Danemark Section Commerciale"|23
1001008|"Allan Frank Walther"|"Foreningen af Interne Revisorer (Sektor: Industri m.v.)"|""|"Allan Frank Walther, Intern revisionschef Semler Gruppen"|24
1000690|"Allan Hansen"|"Danske Dagblades Forening (Annonceudvalget)"|""|"Allan Hansen, Kommerciel direktør, medlem"|25
1000728|"Allan J. R. Svendsen"|"Dansk Aktionærforening (repræsentantskab)"|""|"Allan J. R. Svendsen, Senior konsulent"|26
1001038|"Allan Junge"|"Danske Speditører (Fagudvalg Økonomi og Finans)"|""|"Allan Junge, (formand), Blue Water Shipping A/S"|27
1000112|"Allan Jørgensen"|"Tekniq - Installatørernes Organisation (Bestyrelse)"|""|"Medlem, Adm. direktør Allan Jørgensen Kemp & Lauritzen A/S"|28
1000948|"Allan L. Agerholm"|"HORESTA (Bestyrelse)"|""|"Allan L. Agerholm, Crowne Plaza Copenhagen Towers Ørestads Boulevard 114, 2300 Kbh. S, Næstformand"|29
1000949|"Allan L. Agerholm"|"HORESTA arbejdsgiverforening (Bestyrelse)"|""|"Allan L. Agerholm, Crowne Plaza Copenhagen Towers Ørestads Boulevard 114, 2300 Kbh. S, Næstformand"|29
