Navn|Institution (uddannelse)|uddannelse_institution_1|uddannelse_institution_2|Uddannelse|uddannelse_type|uddannelse_længde|MBA|MBA_institution|År|MBA|Sted (MBA)
Agnete Raaschou-Nielsen      |KU|KU|S|Cand.polit, PhD (Oecon)|BUS|PHD|Nej|Nej|1985, 1988||
Aksel Christian Lauesgaard Nissen|ASB|ASB|JF|BSc Economic, HD|BUS|MVU|Nej|Nej|||
Allan Søgaard Lambrechtsen Larsen|AU|AU|JF|Cand.mag|HUM|CAND|Nej|Nej|1981||
Anders Boyer-Søgaard              |CBS|CBS|NA|Cand.Merc|BUS|CAND|Nej|Nej|1997||
Anders Christen Obel             |CBS|CBS|S|HA|BUS|MVU|Nej|Nej|||
Anders Colding Friis               |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|||
Anders Gersel Pedersen           |KU, KU, CBS|KU|S|Cand.Med, PhD (med), HD|BUS|PHD|Nej|Nej|1978, 1987, 1990||
Anders Jensen                  |KU, University of California|KU|S|Cand.scient, PhD (matematik)|NAT|PHD|Nej|Nej|1989, 1991||
Anders Jørn Knutsen                |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1973||
Annette Sadolin                    |KU, Columbia University |KU|S|Cand.jur, Specielt Juridisk Program|SAMF|CAND|Ja|DK||Ja|CBS
Asbjørn Berge                     ||NA|NA|Tømrer, Merkonom|BUS|MVU|Ja|DK|1977|Ja|Teknologisk Institut
Benny Dalgaard Loft             |CBS|CBS|S|HD|BUS|ØVR|Nej|Nej|||
Bent Andersen                   ||NA|NA|Merkonom|BUS|MVU|Nej|Nej|||
Berit Vinther                     |KU|KU|S|Cand.jur|SAMF|CAND|Nej|Nej|1985||
Birgit Nørgaard                     |CBS|CBS|S|Cand.Merc|BUS|CAND|Ja|INT2|1982|Ja|Insead 
Birgitte Nielsen                   ||NA|NA|HD|BUS|ØVR|Ja|INT2|1989|Ja|Insead 
Bjarne Moltke Hansen                |DIA|DIA|S|Ingeniør|ING|MVU|Nej|Nej|1984||
Bjørn Høi Jensen         |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|||
Carsten Bjerg                       |DIA, Cambridge University|DIA|S|Ingeniør, ACPMM|ING|MVU|Nej|Nej|1983, 1985||
Carsten Krogsgaard Thomsen         |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1983||
Carsten Mandrup Poulsen Wiggers    |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|||
Christian Peter Dyvig           |KU|KU|S|Cand.jur|SAMF|CAND|Nej|Nej|||
Christine Bosse                 |KU, London|KU|S|Cand.jur, Knowledge Management|SAMF|CAND|Ja|DK|1987, 1997|Ja|Bøgehøj
Claus Michael Valentin Hemmingsen ||NA|NA|Shipping uddannelse|PROF|ØVR|Ja|INT1||Ja|London Business School og Cornell University
Connie Astrup-Larsen                ||NA|NA|Bankelev i kolding, Diploma Economics og marketing|PROF|ØVR|Nej|Nej|?, 1986||
Dorte Krak                         |CBS|CBS|S|Cand.Merc|BUS|ØVR|Ja|DK|1991|Ja|CBS
Erik Michael Bredholt              ||NA|NA|Landbrugsuddannet|PROF|ØVR|Nej|Nej|||
Erik Preben Holm                    |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|||
Erling Hessellund Eskildsen        ||NA|NA||NA|NA|Nej|Nej|||
Eva Merete Søfelde Berneke|DTU|DTU|S|Maskiningeniør|ING|MVU|Ja|INT2|1992|Ja|Insead
Flemming Henze Tomdrup     ||NA|NA|Merkonom|BUS|MVU|Ja|INT2|1975|Ja|Insead
Flemming Pedersen                  |CBS|CBS|S|HD, Cand.Merc.aud|BUS|CAND|Nej|Nej|1990, 1994||
Frank Alex Kristensen               |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|||
Fritz Henrik Schur                 |CBS|CBS|S|HA|BUS|MVU|Nej|Nej|1973||
Gert Kristiansen                   ||NA|NA||NA|NA|Nej|Nej|||
Gert Rinaldo Jonassen              ||NA|NA|Handelskole og elev Arbejdernes Landsbank|PROF|ØVR|Nej|Nej|||
Göran Ando                      |Linköping|INT|INT|Cand.Med, PhD.Med|NAT|PHD|Nej|Nej|1973, 1978||
Hans Ole Jensen                ||NA|NA|Blikkenslager og rørlægger|PROF|ØVR|Nej|Nej|1965||
Hemming Van                        ||NA|NA|HA, Cand.Merc|BUS|CAND|Nej|Nej|1978, 1981||
Henning Kruse Stoltenberg Pedersen|AU|AU|JF|Cand.jur|SAMF|CAND|Nej|Nej|1973||
Henrik Andersen                 |?, Business School Rive Rein Schweiz|INT|INT|Handelsuddannet|PROF|ØVR|Nej|Nej|1981, 2002||
Henrik Bjerre-Nielsen             |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1980||
Henrik Gürtler                      |DTU|DTU|S|Cand.polyt|BUS|CAND|Nej|Nej|||
Henrik Nordby Christensen          |AU, City University London|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1986||
Henrik Østenkjær Lind    ||NA|NA||NA|NA|Nej|Nej|||
Henrik Poulsen                     |ASB|ASB|JF|MSc|BUS|CAND|Nej|Nej|||
Henrik Ramlau-Hansen              |KU|KU|S|Cand.act, Kandidat i Matematik og Statistik, PhD (Forskningsmatematik)|NAT|PHD|Ja|INT2|1981, 1982, 1985|Ja|Insead
Henrik Tonsgaard Heideby        |CBS|CBS|S|HD|BUS|ØVR|Nej|Nej|1974||
Jacob Erik Holm                     |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1985||
Jakob Brogaard                    ||NA|NA|Merkonom|BUS|MVU|Nej|Nej|1976||
Jan Vorup Nielsen                   |Handelshøjskole Syd|ØVDK|JF|Cand.Merc.aud, HD|BUS|CAND|Nej|Nej|?, 1989||
Jeff Olsen Gravenhorst             |CBS|CBS|S|Cand.Merc.aud|BUS|CAND|Ja|INT1||Ja|Managementuddannelser fra blandt andet Henley og IMD.
Jens Bager                          |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1987||
Jens Bjerg Sørensen               |Niels Brocks Handelsakademi, CBS|CBS|S|Akademiøkonom, HD|BUS|MVU|Ja|INT2|1980, 1984|Ja |Insead
Jens Erik Jepsen Christensen        |KU|KU|S|Cand.act|BUS|CAND|Nej|Nej|1974||
Jens Iwer Petersen                 |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1975||
