IP,NAVN,ORG,ROLLE,PERSON
6000069,Helle Thorning-Schmidt,Koordinationsudvalget (Regeringens faste udvalg),Formand,
6000069,Margrethe Vestager,Koordinationsudvalget (Regeringens faste udvalg),,
6000069,Villy Søvndal,Koordinationsudvalget (Regeringens faste udvalg),,
6000069,Bjarne Corydon,Koordinationsudvalget (Regeringens faste udvalg),,
6000069,Morten Bødskov,Koordinationsudvalget (Regeringens faste udvalg),,
6000069,Morten Østergaard,Koordinationsudvalget (Regeringens faste udvalg),,
6000069,Thor Möger Pedersen,Koordinationsudvalget (Regeringens faste udvalg),,
,,,,
6000070,Margrethe Vestager,Økonomiudvalget (Regeringens faste udvalg),,
6000070,Bjarne Corydon,Økonomiudvalget (Regeringens faste udvalg),Formand,
6000070,Morten Østergaard,Økonomiudvalget (Regeringens faste udvalg),,
6000070,Thor Möger Pedersen,Økonomiudvalget (Regeringens faste udvalg),,
6000070,Ole Sohn,Økonomiudvalget (Regeringens faste udvalg),,
6000070,Mette Frederiksen,Økonomiudvalget (Regeringens faste udvalg),,
,,,,
6000071,Helle Thorning-Schmidt,Sikkerhedsudvalget (Regeringens faste udvalg),Formand,
6000071,Margrethe Vestager,Sikkerhedsudvalget (Regeringens faste udvalg),,
6000071,Villy Søvndal,Sikkerhedsudvalget (Regeringens faste udvalg),,
6000071,Morten Bødskov,Sikkerhedsudvalget (Regeringens faste udvalg),,
6000071,Nick Hækkerup,Sikkerhedsudvalget (Regeringens faste udvalg),,
,,,,
6000072,Helle Thorning-Schmidt,Udnævnelses- og organisationsudvalget (Regeringens faste udvalg),Formand,
6000072,Margrethe Vestager,Udnævnelses- og organisationsudvalget (Regeringens faste udvalg),,
6000072,Villy Søvndal,Udnævnelses- og organisationsudvalget (Regeringens faste udvalg),,
6000072,Bjarne Corydon,Udnævnelses- og organisationsudvalget (Regeringens faste udvalg),,
,,,,
6000073,Villy Søvndal,Ministerudvalget for Rio+20-topmødet (Midlertidigt regeringsudvalg) ,Formand,
6000073,Martin Lidegaard,Ministerudvalget for Rio+20-topmødet (Midlertidigt regeringsudvalg) ,,
6000073,Ida Auken,Ministerudvalget for Rio+20-topmødet (Midlertidigt regeringsudvalg) ,,
6000073,Christian Friis Bach,Ministerudvalget for Rio+20-topmødet (Midlertidigt regeringsudvalg) ,,
,,,,
6000074,Ole Sohn,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),Formand,
6000074,Margrethe Vestager,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Bjarne Corydon,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Morten Østergaard,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Thor Möger Pedersen,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Carsten Hansen,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Mette Frederiksen,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Mette Gjerskov,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Martin Lidegaard,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Pia Olsen Dyhr,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Astrid Krag,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Ida Auken,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
6000074,Uffe Elbæk,Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg),,
,,,,
6000075,Christine Antorini,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),Formand,
6000075,Margrethe Vestager,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
6000075,Bjarne Corydon,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
6000075,Morten Østergaard,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
6000075,Ole Sohn,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
6000075,Mette Frederiksen,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
6000075,Karen Hækkerup,Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg),,
,,,,
6000076,Karen Hækkerup,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),Formand,
6000076,Bjarne Corydon,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Morten Bødskov,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Morten Østergaard,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Ole Sohn,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Carsten Hansen,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Mette Frederiksen,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Christine Antorini,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
6000076,Manu Sareen,Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg),,
,,,,
6000077,Morten Østergaard,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),Formand,
6000077,Margrethe Vestager,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),,
6000077,Bjarne Corydon,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),,
6000077,Ole Sohn,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),,
6000077,Mette Frederiksen,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),,
6000077,Christine Antorini,Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg),,
