Data_kilde|BIQ_ID|NAVN|ORG_NAVN
Bestyrelse|1543692|Abdulla Saleh Ali Abdulla Janahi|Kosan Crisplant
Bestyrelse|7385410|Achim Gutknecht|Amcor Flexibles
Bestyrelse|1388443|Adam Christian Harhoff|IF IT Services
Kommission|0|Adam Hey|Forum for Bæredygtige Indkøb
Bestyrelse|239904|Adam Troels Bjerg|Ejner Hessel Holding
Kommission|0|Adam Wolf|Forum for offentlig topledelse
Bestyrelse|239965|Adine Charlotte Grate Axen|HI3G Denmark
Bestyrelse|16953399|Adrian Karl Bauer|Glaxosmithkline Cons. Health.
Bestyrelse|956884|Adrianus Bernard Smalbraak|Pon Power
Kommission|0|Agi Csonka|Familie- og arbejdslivskommissionen
Bestyrelse|1405946|Agne Mikael Haström|SAS Institute
Bestyrelse|240295|Agner Nørgaard Mark|Global Connect
Bestyrelse|7369269|Agnes Marie Therese Roger|Dalum Papir
Kommission|0|Agnete Gersing|Produktivitetskommission
Bestyrelse|240525|Agnete Raaschou-Nielsen|Schouw & Co.
Kommission|240525|Agnete Raaschou-Nielsen|Produktivitetskommission
Kommission|0|Ahmed Jahoor|Udvalget for plantegenetiske ressourcer
Kommission|0|Aino Vedel|Trængselskommission for hovedstadsområdet
Bestyrelse|1732524|Ajs Dam|Desmi
Bestyrelse|1859158|Akira Fujita|Konica Minolta
Bestyrelse|240909|Aksel Christian Lauesgaard Nissen|BRFkredit
Bestyrelse|712039|Aksel Emanuel Bjørke|DBK
Bestyrelse|240967|Aksel Frandsen|Kirkebjerg
Bestyrelse|241013|Aksel Gybel Jensen|DAGROFA A/S
Bestyrelse|1321198|Aksel Vesterbæk Lægsgaard|Actona Company
Bestyrelse|1149104|Alan Jensen|Dansk Supermarked
Bestyrelse|241664|Alan Nissen|K. Nissen International
Bestyrelse|1988523|Alberto Torres|Bang & Olufsen
Bestyrelse|1549721|Alberto Zorzan|Metro Service
Bestyrelse|241968|Aldo Giovanni Scoppa|Elgiganten
Bestyrelse|1823401|Alex Ahrendtsen|Vandcenter Syd
Bestyrelse|242233|Alex Holm Jensen|Systematic
Bestyrelse|242238|Alex Hougaard Nielsen|Sparbank
Bestyrelse|242334|Alex Lynnerup Jensen|Nordic Seafood
Bestyrelse|1095410|Alex Minder|Valora Trade
Bestyrelse|242369|Alex Nielsen|Pressens Fællesindkøb
Bestyrelse|242400|Alex Ostersen|Vestjyllands Andel
Bestyrelse|7382195|Alex Petersen|Wittenborg
Bestyrelse|1989598|Alex Steninge Jacobsen|NNIT A/S 
Bestyrelse|1743411|Alex Valeur Nielsen|SEAS-NVE
Bestyrelse|712057|Alex Vestergaard|Foss
Bestyrelse|242492|Alex Villy Andersen|Alex Andersen Ølund
Bestyrelse|929533|Alexander Pavlovich Potapenko|Rimeco
Bestyrelse|1853604|Alexander Sebastian Kiesouw|Blücher Metal
Bestyrelse|1940584|Alf Mellström|Posten Norden Ab
Bestyrelse|1754520|Alice Lykke|SEB Pension
Kommission|0|Alis Boesen|Det Regionale Beskæftigelsesråd for  Syddanmark
Bestyrelse|243949|Alison Johanne Frazer Riegels|D/S Norden
Bestyrelse|244055|Allan Bach Pedersen|Color Print
Kommission|0|Allan Baumann|Rådet for Evaluering og Kvalitetsudvikling af Folkeskolen
Bestyrelse|244219|Allan Buch|Middelfart Sparekasse
Bestyrelse|244260|Allan Carsten Bülow|GASA Odense Frugt
Bestyrelse|244276|Allan Christensen|Good Food Group
Bestyrelse|244303|Allan Christian Holtzer|Bella Center
Bestyrelse|1500139|Allan Clifford Christensen|Energi Viborg
Bestyrelse|1063474|Allan Dyrgaard Melgaard|Scan Global Logistics
Kommission|0|Allan Flyvbjerg|Danmarks Forskningspolitiske Råd
Bestyrelse|244541|Allan Geert Nielsen|Geodis Wilson
Bestyrelse|244593|Allan Gross-Nielsen|Gross-Nielsen Holding
