"Navn"|"Kvinder"|"Mænd"|"Samlet"|"Andel.mænd"|"Kategori"
"1"|"JENS"|0|50697|50697|1|"Mand"
"2"|"PETER"|0|50336|50336|1|"Mand"
"3"|"LARS"|0|46209|46209|1|"Mand"
"4"|"HENRIK"|0|43258|43258|1|"Mand"
"5"|"SØREN"|0|42498|42498|1|"Mand"
"6"|"THOMAS"|0|42258|42258|1|"Mand"
"7"|"NIELS"|0|40048|40048|1|"Mand"
"8"|"JØRGEN"|0|38145|38145|1|"Mand"
"9"|"HANS"|0|38062|38062|1|"Mand"
"10"|"MORTEN"|0|34423|34423|1|"Mand"
"11"|"JESPER"|0|34307|34307|1|"Mand"
"12"|"OLE"|0|34130|34130|1|"Mand"
"13"|"PER"|0|33613|33613|1|"Mand"
"14"|"ERIK"|0|32885|32885|1|"Mand"
"15"|"MADS"|0|30277|30277|1|"Mand"
"16"|"RASMUS"|0|29951|29951|1|"Mand"
"17"|"JOHN"|0|28873|28873|1|"Mand"
"18"|"POUL"|0|28248|28248|1|"Mand"
"19"|"MIKKEL"|0|26481|26481|1|"Mand"
"20"|"CLAUS"|0|22320|22320|1|"Mand"
"21"|"FLEMMING"|0|22096|22096|1|"Mand"
"22"|"JONAS"|0|21678|21678|1|"Mand"
"23"|"TORBEN"|0|21669|21669|1|"Mand"
"24"|"FREDERIK"|0|21203|21203|1|"Mand"
"25"|"SVEND"|0|19854|19854|1|"Mand"
"26"|"SIMON"|0|19663|19663|1|"Mand"
"27"|"HENNING"|0|19440|19440|1|"Mand"
"28"|"ANDREAS"|0|19282|19282|1|"Mand"
"29"|"KASPER"|0|19276|19276|1|"Mand"
"30"|"CARSTEN"|0|19167|19167|1|"Mand"
"31"|"BRIAN"|0|18649|18649|1|"Mand"
"32"|"DANIEL"|0|18574|18574|1|"Mand"
"33"|"FINN"|0|17936|17936|1|"Mand"
"34"|"ALLAN"|0|17790|17790|1|"Mand"
"35"|"BJARNE"|0|17763|17763|1|"Mand"
"36"|"KNUD"|0|17758|17758|1|"Mand"
"37"|"LEIF"|0|17001|17001|1|"Mand"
"38"|"LASSE"|0|16269|16269|1|"Mand"
"39"|"KURT"|0|16089|16089|1|"Mand"
"40"|"JAKOB"|0|15868|15868|1|"Mand"
"41"|"MOGENS"|0|15389|15389|1|"Mand"
"42"|"STEEN"|0|15166|15166|1|"Mand"
"43"|"ARNE"|0|14235|14235|1|"Mand"
"44"|"MAGNUS"|0|13785|13785|1|"Mand"
"45"|"SEBASTIAN"|0|12960|12960|1|"Mand"
"46"|"PREBEN"|0|12937|12937|1|"Mand"
"47"|"DENNIS"|0|11547|11547|1|"Mand"
"48"|"ALEXANDER"|0|11507|11507|1|"Mand"
"49"|"FRANK"|0|11506|11506|1|"Mand"
"50"|"CASPER"|0|11424|11424|1|"Mand"
"51"|"KAJ"|0|11310|11310|1|"Mand"
"52"|"JØRN"|0|10267|10267|1|"Mand"
"53"|"JEPPE"|0|10209|10209|1|"Mand"
"54"|"KARSTEN"|0|9540|9540|1|"Mand"
"55"|"KLAUS"|0|9485|9485|1|"Mand"
"56"|"NICOLAI"|0|9418|9418|1|"Mand"
"57"|"NIKOLAJ"|0|9262|9262|1|"Mand"
"58"|"CARL"|0|9028|9028|1|"Mand"
"59"|"PATRICK"|0|8075|8075|1|"Mand"
"60"|"IB"|0|7948|7948|1|"Mand"
"61"|"PALLE"|0|7732|7732|1|"Mand"
"62"|"VICTOR"|0|7716|7716|1|"Mand"
"63"|"MARCUS"|0|7520|7520|1|"Mand"
"64"|"KJELD"|0|7444|7444|1|"Mand"
"65"|"DAVID"|0|7291|7291|1|"Mand"
"66"|"OVE"|0|7220|7220|1|"Mand"
"67"|"LUCAS"|0|7154|7154|1|"Mand"
"68"|"JOHANNES"|0|7142|7142|1|"Mand"
"69"|"GUSTAV"|0|6996|6996|1|"Mand"
"70"|"BØRGE"|0|6990|6990|1|"Mand"
"71"|"ERLING"|0|6973|6973|1|"Mand"
"72"|"STEFFEN"|0|6949|6949|1|"Mand"
"73"|"NICKLAS"|0|6818|6818|1|"Mand"
"74"|"TOM"|0|6739|6739|1|"Mand"
"75"|"CHRISTOFFER"|0|5814|5814|1|"Mand"
"76"|"PEDER"|0|5747|5747|1|"Mand"
"77"|"EGON"|0|5623|5623|1|"Mand"
"78"|"VAGN"|0|5559|5559|1|"Mand"
"79"|"BJØRN"|0|5387|5387|1|"Mand"
"80"|"MIKAEL"|0|5381|5381|1|"Mand"
"81"|"KELD"|0|5259|5259|1|"Mand"
"82"|"STEFAN"|0|5234|5234|1|"Mand"
"83"|"GUNNAR"|0|5212|5212|1|"Mand"
"84"|"STIG"|0|5161|5161|1|"Mand"
"85"|"PHILIP"|0|5066|5066|1|"Mand"
"86"|"ASGER"|0|4932|4932|1|"Mand"
"87"|"JONATHAN"|0|4713|4713|1|"Mand"
"88"|"ROBERT"|0|4680|4680|1|"Mand"
"89"|"AAGE"|0|4647|4647|1|"Mand"
"90"|"LUKAS"|0|4544|4544|1|"Mand"
"91"|"TAGE"|0|4522|4522|1|"Mand"
"92"|"MALTHE"|0|4449|4449|1|"Mand"
"93"|"TROELS"|0|4401|4401|1|"Mand"
"94"|"VILLY"|0|4281|4281|1|"Mand"
"95"|"HELGE"|0|4257|4257|1|"Mand"
"96"|"AKSEL"|0|4250|4250|1|"Mand"
"97"|"ULRIK"|0|4249|4249|1|"Mand"
"98"|"KRISTOFFER"|0|4041|4041|1|"Mand"
"99"|"HOLGER"|0|3888|3888|1|"Mand"
"100"|"ADAM"|0|3824|3824|1|"Mand"
"101"|"OSCAR"|0|3818|3818|1|"Mand"
"102"|"KENT"|0|3804|3804|1|"Mand"
"103"|"MOHAMMAD"|0|3717|3717|1|"Mand"
"104"|"VERNER"|0|3510|3510|1|"Mand"
"105"|"MAX"|0|3509|3509|1|"Mand"
"106"|"ESBEN"|0|3426|3426|1|"Mand"
